Time,Channel A
(ms),(V)

1.72552784,0.24249510
1.72558384,0.24249510
1.72563984,0.24249510
1.72569584,0.24249510
1.72575184,0.24249510
1.72580784,0.26113440
1.72586384,0.26113440
1.72591984,0.27977360
1.72597584,0.27977360
1.72603184,0.27977360
1.72608784,0.27977360
1.72614384,0.27977360
1.72619984,0.27977360
1.72625584,0.27977360
1.72631184,0.26113440
1.72636784,0.24249510
1.72642384,0.24249510
1.72647984,0.22379430
1.72653584,0.22379430
1.72659184,0.22379430
1.72664784,0.22379430
1.72670384,0.22379430
1.72675984,0.20515500
1.72681584,0.20515500
1.72687184,0.20515500
1.72692784,0.22379430
1.72698384,0.22379430
1.72703984,0.24249510
1.72709584,0.24249510
1.72715184,0.24249510
1.72720784,0.26113440
1.72726384,0.26113440
1.72731984,0.26113440
1.72737584,0.24249510
1.72743184,0.22379430
1.72748784,0.20515500
1.72754384,0.18651570
1.72759984,0.18651570
1.72765584,0.16787650
1.72771184,0.16787650
1.72776784,0.16787650
1.72782384,0.16787650
1.72787984,0.16787650
1.72793584,0.18651570
1.72799184,0.18651570
1.72804784,0.18651570
1.72810384,0.20515500
1.72815984,0.20515500
1.72821584,0.20515500
1.72827184,0.20515500
1.72832784,0.20515500
1.72838384,0.20515500
1.72843984,0.20515500
1.72849584,0.20515500
1.72855184,0.18651570
1.72860784,0.18651570
1.72866384,0.18651570
1.72871984,0.18651570
1.72877584,0.18651570
1.72883184,0.16787650
1.72888784,0.16787650
1.72894384,0.14917570
1.72899984,0.14917570
1.72905584,0.14917570
1.72911184,0.13053640
1.72916784,0.13053640
1.72922384,0.14917570
1.72927984,0.14917570
1.72933584,0.14917570
1.72939184,0.14917570
1.72944784,0.14917570
1.72950384,0.14917570
1.72955984,0.14917570
1.72961584,0.14917570
1.72967184,0.13053640
1.72972784,0.13053640
1.72978384,0.11189710
1.72983984,0.13053640
1.72989584,0.13053640
1.72995184,0.13053640
1.73000784,0.13053640
1.73006384,0.14917570
1.73011984,0.16787650
1.73017584,0.16787650
1.73023184,0.16787650
1.73028784,0.14917570
1.73034384,0.14917570
1.73039984,0.13053640
1.73045584,0.13053640
1.73051184,0.11189710
1.73056784,0.11189710
1.73062384,0.11189710
1.73067984,0.11189710
1.73073584,0.09325787
1.73079184,0.09325787
1.73084784,0.11189710
1.73090384,0.11189710
1.73095984,0.11189710
1.73101584,0.11189710
1.73107184,0.09325787
1.73112784,0.11189710
1.73118384,0.09325787
1.73123984,0.09325787
1.73129584,0.09325787
1.73135184,0.09325787
1.73140784,0.09325787
1.73146384,0.09325787
1.73151984,0.07455709
1.73157584,0.07455709
1.73163184,0.07455709
1.73168784,0.07455709
1.73174384,0.07455709
1.73179984,0.09325787
1.73185584,0.09325787
1.73191184,0.09325787
1.73196784,0.09325787
1.73202384,0.07455709
1.73207984,0.07455709
1.73213584,0.07455709
1.73219184,0.05591781
1.73224784,0.05591781
1.73230384,0.05591781
1.73235984,0.05591781
1.73241584,0.05591781
1.73247184,0.05591781
1.73252784,0.05591781
1.73258384,0.05591781
1.73263984,0.05591781
1.73269584,0.05591781
1.73275184,0.05591781
1.73280784,0.07455709
1.73286384,0.05591781
1.73291984,0.05591781
1.73297584,0.03727854
1.73303184,0.01863927
1.73308784,0.01863927
1.73314384,0.03727854
1.73319984,0.03727854
1.73325584,0.03727854
1.73331184,0.03727854
1.73336784,0.03727854
1.73342384,0.03727854
1.73347984,0.03727854
1.73353584,0.03727854
1.73359184,0.03727854
1.73364784,0.03727854
1.73370384,0.03727854
1.73375984,0.03727854
1.73381584,0.03727854
1.73387184,0.01863927
1.73392784,0.01863927
1.73398384,0.01863927
1.73403984,0.01863927
1.73409584,0.01863927
1.73415184,0.01863927
1.73420784,0.01863927
1.73426384,0.01863927
1.73431984,0.00000000
1.73437584,0.01863927
1.73443184,0.01863927
1.73448784,0.01863927
1.73454384,0.01863927
1.73459984,0.01863927
1.73465584,0.01863927
1.73471184,0.00000000
1.73476784,0.00000000
1.73482384,0.00000000
1.73487984,-0.01863927
1.73493584,-0.01863927
1.73499184,-0.03727854
1.73504784,-0.03727854
1.73510384,-0.03727854
1.73515984,-0.03727854
1.73521584,-0.03727854
1.73527184,-0.03727854
1.73532784,-0.03727854
1.73538384,-0.01863927
1.73543984,-0.01863927
1.73549584,0.00000000
1.73555184,0.00000000
1.73560784,0.00000000
1.73566384,0.00000000
1.73571984,0.01863927
1.73577584,0.00000000
1.73583184,0.00000000
1.73588784,0.00000000
1.73594384,0.00000000
1.73599984,-0.01863927
1.73605584,-0.01863927
1.73611184,-0.01863927
1.73616784,-0.01863927
1.73622384,-0.03727854
1.73627984,-0.03727854
1.73633584,-0.03727854
1.73639184,-0.03727854
1.73644784,-0.03727854
1.73650384,-0.05591781
1.73655984,-0.05591781
1.73661584,-0.05591781
1.73667184,-0.05591781
1.73672784,-0.05591781
1.73678384,-0.07455709
1.73683984,-0.07455709
1.73689584,-0.07455709
1.73695184,-0.09325787
1.73700784,-0.09325787
1.73706384,-0.09325787
1.73711984,-0.09325787
1.73717584,-0.09325787
1.73723184,-0.07455709
1.73728784,-0.07455709
1.73734384,-0.05591781
1.73739984,-0.03727854
1.73745584,-0.01863927
1.73751184,0.00000000
1.73756784,0.00000000
1.73762384,0.00000000
1.73767984,0.00000000
1.73773584,-0.01863927
1.73779184,-0.03727854
1.73784784,-0.05591781
1.73790384,-0.07455709
1.73795984,-0.07455709
1.73801584,-0.07455709
1.73807184,-0.09325787
1.73812784,-0.09325787
1.73818384,-0.09325787
1.73823984,-0.09325787
1.73829584,-0.11189710
1.73835184,-0.11189710
1.73840784,-0.11189710
1.73846384,-0.11189710
1.73851984,-0.11189710
1.73857584,-0.11189710
1.73863184,-0.09325787
1.73868784,-0.09325787
1.73874384,-0.09325787
1.73879984,-0.07455709
1.73885584,-0.07455709
1.73891184,-0.09325787
1.73896784,-0.07455709
1.73902384,-0.07455709
1.73907984,-0.07455709
1.73913584,-0.07455709
1.73919184,-0.07455709
1.73924784,-0.07455709
1.73930384,-0.07455709
1.73935984,-0.09325787
1.73941584,-0.11189710
1.73947184,-0.11189710
1.73952784,-0.13053640
1.73958384,-0.11189710
1.73963984,-0.11189710
1.73969584,-0.11189710
1.73975184,-0.09325787
1.73980784,-0.09325787
1.73986384,-0.09325787
1.73991984,-0.09325787
1.73997584,-0.09325787
1.74003184,-0.07455709
1.74008784,-0.07455709
1.74014384,-0.07455709
1.74019984,-0.09325787
1.74025584,-0.09325787
1.74031184,-0.09325787
1.74036784,-0.11189710
1.74042384,-0.13053640
1.74047984,-0.13053640
1.74053584,-0.13053640
1.74059184,-0.14917570
1.74064784,-0.14917570
1.74070384,-0.14917570
1.74075984,-0.14917570
1.74081584,-0.13053640
1.74087184,-0.13053640
1.74092784,-0.11189710
1.74098384,-0.09325787
